"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2008","2008","NBR","Number","0","Units",,,5716200,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2009","2009","NBR","Number","0","Units",,,5858200,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2010","2010","NBR","Number","0","Units",,,6680900,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2011","2011","NBR","Number","0","Units",,,7424500,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2012","2012","NBR","Number","0","Units",,,8015600,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2013","2013","NBR","Number","0","Units",,,8401200,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2014","2014","NBR","Number","0","Units",,,8986700,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2015","2015","NBR","Number","0","Units",,,9262500,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2016","2016","NBR","Number","0","Units",,,9665300,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2017","2017","NBR","Number","0","Units",,,10297200,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2018","2018","NBR","Number","0","Units",,,10759400,,
"LUX","Luxembourg","OBND_DEP_TOTAL","Total international departures","2014","2014","NBR","Number","0","Units",,,3542814,,
"USA","United States","OBND_DEP_TOTAL","Total international departures","2008","2008","NBR","Number","0","Units",,,136148470,,
"USA","United States","OBND_DEP_TOTAL","Total international departures","2009","2009","NBR","Number","0","Units",,,130032628,,
"USA","United States","OBND_DEP_TOTAL","Total international departures","2010","2010","NBR","Number","0","Units",,,121574269,,
"USA","United States","OBND_DEP_TOTAL","Total international departures","2011","2011","NBR","Number","0","Units",,,114088644,,
"USA","United States","OBND_DEP_TOTAL","Total international departures","2012","2012","NBR","Number","0","Units",,,116327459,,
"USA","United States","OBND_DEP_TOTAL","Total international departures","2013","2013","NBR","Number","0","Units",,,118438102.496,,
"USA","United States","OBND_DEP_TOTAL","Total international departures","2014","2014","NBR","Number","0","Units",,,121708536.784,,
"USA","United States","OBND_DEP_TOTAL","Total international departures","2015","2015","NBR","Number","0","Units",,,130907227.811,,
"USA","United States","OBND_DEP_TOTAL","Total international departures","2016","2016","NBR","Number","0","Units",,,141526240.528,,
"USA","United States","OBND_DEP_TOTAL","Total international departures","2017","2017","NBR","Number","0","Units",,,148055788.765,,
"USA","United States","OBND_DEP_TOTAL","Total international departures","2018","2018","NBR","Number","0","Units",,,157872525,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2008","2008","NBR","Number","0","Units",,,10867999,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2009","2009","NBR","Number","0","Units",,,11066072,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2010","2010","NBR","Number","0","Units",,,12988001,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2011","2011","NBR","Number","0","Units",,,13994002,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2012","2012","NBR","Number","0","Units",,,14924755,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2013","2013","NBR","Number","0","Units",,,16626316,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2014","2014","NBR","Number","0","Units",,,18332319,,
"IDN","Indonesia","OBND_DEP_TOTAL","Total international departures","2008","2008","NBR","Number","0","Units",,,4996594,,
"IDN","Indonesia","OBND_DEP_TOTAL","Total international departures","2009","2009","NBR","Number","0","Units",,,5053269,,
"IDN","Indonesia","OBND_DEP_TOTAL","Total international departures","2010","2010","NBR","Number","0","Units",,,6235606,,
